Date,Team,Acquired,Relinquished,Notes
03/10/2010,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely)
06/10/2010,Pistons,,Jonas Jerebko,torn right Achilles tendon (out indefinitely)
06/10/2010,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely)
08/10/2010,Blazers,,Jeff Ayres,torn ACL in right knee (out indefinitely)
08/10/2010,Nets,,Troy Murphy,strained lower back (out indefinitely)
08/10/2010,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon
08/10/2010,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal
09/10/2010,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely)
12/10/2010,Bucks,,Darington Hobson,surgery on left hip (out for season)
12/10/2010,Kings,,Samuel Dalembert,strained left groin (out indefinitely)
17/10/2010,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely)
18/10/2010,Warriors,,Lou Amundson,surgery to repair fractured right index finger (out indefinitely)
19/10/2010,Suns,,Josh Childress,fractured right index finger (out indefinitely)
22/10/2010,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely)
25/10/2010,Thunder,,Nick Collison,left knee injury (out indefinitely)
25/10/2010,Timberwolves,,Martell Webster,surgery on back (out indefinitely)
26/10/2010,Heat,,Mario Chalmers,sprained ankle (out indefinitely)
27/10/2010,Bucks,,Jon Brockman,sprained left ankle (DNP)
27/10/2010,Bucks,,Luc Mbah a Moute,sprained right ankle (DNP)
28/10/2010,Grizzlies,,Zach Randolph,back injury (DTD)
28/10/2010,Hawks,,Maurice Evans,right knee inflammation (DTD)
28/10/2010,Spurs,,Matt Bonner,sprained right ankle (DTD)
29/10/2010,Heat,Mario Chalmers,,returned to lineup
29/10/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
30/10/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
02/11/2010,Pistons,,Richard Hamilton,sore right foot (DNP)
02/11/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
03/11/2010,Hawks,,Jamal Crawford,turf toe (DNP)
03/11/2010,Jazz,,Jeremy Evans,sprained right wrist (DNP)
03/11/2010,Jazz,,Kyrylo Fesenko,stomach illness (DNP)
03/11/2010,Nuggets,,Nene Hilario ,strained left groin (DNP)
03/11/2010,Pistons,,Richard Hamilton,sore right foot (DNP)
03/11/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
03/11/2010,Warriors,,Brandan Wright,stomach virus (DTD)
04/11/2010,Blazers,,Elliot Williams,"dislocated patella in right knee (surgery, out for season)"
05/11/2010,Bucks,,Andrew Bogut,migraine headache (DNP)
05/11/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
05/11/2010,Jazz,,Jeremy Evans,sprained right ankle (DNP)
05/11/2010,Nuggets,,Nene Hilario ,strained left groin (DNP)
06/11/2010,Blazers,,Rudy Fernandez,back injury (DNP)
06/11/2010,Nuggets,,Nene Hilario ,strained left groin (DNP)
06/11/2010,Raptors,,Sonny Weems,ankle injury (DTD)
07/11/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
08/11/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
08/11/2010,Magic,,Mickael Pietrus,DNP
09/11/2010,Bucks,,Carlos Delfino,strained neck (DNP)
10/11/2010,Bucks,,Carlos Delfino,strained neck (DNP)
10/11/2010,Clippers,,Chris Kaman,sprained left ankle (DNP)
10/11/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
10/11/2010,Raptors,,David Andersen,flu (DTD)
10/11/2010,Timberwolves,,Wayne Ellington,thigh injury (DTD)
10/11/2010,Clippers,,Eric Gordon,sore left shoulder (DNP)
11/11/2010,Celtics,,Jermaine O'Neal,sore left knee (DNP)
11/11/2010,Rockets,,Yao Ming,sprained left ankle (DTD)
11/11/2010,Spurs,,James Anderson,stress fracture in right foot (out indefinitely)
11/11/2010,Warriors,,David Lee,placed on IL with infection in left elbow
12/11/2010,Warriors,,David Lee,surgery on left elbow to repair infection
12/11/2010,Clippers,,Randy Foye,strained left hamstring (DNP)
